Airline_0,Airline_1,Airline_2,Airline_3,Source_0,Source_1,Source_2,Destination_0,Destination_1,Destination_2,journey_day,journey_month,day_of_week,dep_hour,arrival_hour,duration_minutes,total_stops_num
0,1,0,1,0,1,1,0,1,1,1,3,4,0,13,780,1
0,1,0,1,0,1,1,0,1,1,1,3,4,0,15,910,1
0,0,1,0,0,0,1,0,0,1,1,3,4,0,20,1200,1
0,0,1,0,0,0,1,0,0,1,1,3,4,0,23,1405,1
0,0,0,1,1,0,1,1,1,0,1,3,4,2,4,90,0
0,0,1,0,0,1,1,0,1,1,1,3,4,4,7,1660,1
0,0,0,1,0,1,1,0,1,1,1,3,4,4,21,985,2
0,0,0,1,1,0,0,1,0,0,1,3,4,5,7,140,0
0,0,0,1,0,0,1,0,0,1,1,3,4,5,10,285,1
0,0,1,1,0,0,1,0,0,1,1,3,4,5,19,805,1
0,0,1,1,0,0,1,0,0,1,1,3,4,5,21,935,1
1,0,1,0,0,0,1,0,0,1,1,3,4,5,11,340,1
0,0,1,1,0,0,1,0,0,1,1,3,4,5,16,625,1
0,1,0,0,1,0,1,1,1,0,1,3,4,5,7,80,0
1,0,1,0,0,0,1,0,0,1,1,3,4,5,10,300,1
0,0,1,1,0,0,1,0,0,1,1,3,4,5,15,570,1
1,0,1,0,0,0,1,0,0,1,1,3,4,5,12,400,1
0,0,1,1,0,0,1,0,0,1,1,3,4,5,18,760,1
0,0,1,1,0,0,1,0,0,1,1,3,4,5,20,875,1
0,0,1,0,0,0,1,0,0,1,1,3,4,5,22,1015,1
0,0,1,0,0,0,1,0,0,1,1,3,4,5,12,1825,3
0,0,1,0,0,0,1,0,0,1,1,3,4,5,22,980,2
0,0,1,0,0,0,1,0,0,1,1,3,4,5,9,1645,1
0,0,1,0,0,0,1,0,0,1,1,3,4,5,11,1770,4
0,0,1,0,0,0,1,0,0,1,1,3,4,5,16,630,2
0,0,1,0,0,0,1,0,0,1,1,3,4,5,8,1620,3
0,0,1,1,0,0,1,0,0,1,1,3,4,5,12,390,1
0,0,1,0,0,0,1,0,0,1,1,3,4,5,22,980,2
1,0,0,0,0,0,1,0,0,1,1,3,4,5,8,170,0
0,0,1,0,0,0,1,0,0,1,1,3,4,6,8,165,0
0,0,0,1,1,0,1,1,1,0,1,3,4,6,7,85,0
0,1,1,1,0,0,1,0,0,1,1,3,4,6,10,1665,1
0,1,1,1,0,0,1,0,0,1,1,3,4,6,21,915,1
0,0,1,0,0,0,1,0,0,1,1,3,4,6,9,1600,2
0,0,1,0,0,0,1,0,0,1,1,3,4,6,11,1705,2
0,0,1,0,0,0,1,0,0,1,1,3,4,6,12,330,1
0,1,0,0,0,1,0,0,1,0,1,3,4,6,9,160,0
0,0,1,1,0,0,1,0,0,1,1,3,4,7,12,325,1
0,0,1,1,0,0,1,0,0,1,1,3,4,7,13,375,1
0,0,1,1,0,0,1,0,0,1,1,3,4,7,16,550,1
0,1,1,1,0,0,1,0,0,1,1,3,4,7,9,160,0
0,0,1,1,0,0,1,0,0,1,1,3,4,7,5,1325,1
