Airline_0,Airline_1,Airline_2,Airline_3,Source_0,Source_1,Source_2,Destination_0,Destination_1,Destination_2,Price,journey_day,journey_month,day_of_week,dep_hour,arrival_hour,duration_minutes,total_stops_num
0,0,0,1,0,0,1,0,0,1,3897,24,3,6,22,1,170,0
0,0,1,0,0,1,0,0,1,0,7662,1,5,2,5,13,445,2
0,0,1,1,0,1,1,0,1,1,13882,9,6,6,9,4,1140,2
0,0,0,1,0,1,0,0,1,0,6218,12,5,6,18,23,325,1
0,0,0,1,0,0,1,0,0,1,13302,1,3,4,16,21,285,1
0,1,0,0,0,1,0,0,1,0,3873,24,6,0,9,11,145,0
0,0,1,1,0,0,1,0,0,1,11087,12,3,1,18,10,930,1
0,0,1,1,0,0,1,0,0,1,22270,1,3,4,8,5,1265,1
0,0,1,1,0,0,1,0,0,1,11087,12,3,1,8,10,1530,1
0,1,0,1,0,1,1,0,1,1,8625,27,5,0,11,19,470,1
0,0,1,0,0,1,1,0,1,1,8907,1,6,5,9,23,795,1
0,0,0,1,0,1,0,0,1,0,4174,18,4,3,20,22,155,0
0,0,1,0,1,0,0,1,0,0,4667,24,6,0,11,13,135,0
0,0,1,1,0,1,0,0,1,0,9663,9,5,3,21,9,730,1
0,0,0,1,0,1,0,0,1,0,4804,24,4,2,17,19,155,0
0,0,1,0,0,1,1,0,1,1,14011,3,3,6,16,19,1595,2
0,1,0,0,0,1,1,0,1,1,5830,15,4,0,8,13,270,1
0,0,1,1,0,1,1,0,1,1,10262,12,6,2,14,12,1355,1
0,0,1,0,0,1,1,0,1,1,13381,12,6,2,20,19,1380,2
0,0,1,1,0,1,1,0,1,1,12898,27,5,0,16,12,1235,1
0,1,1,0,0,1,1,0,1,1,19495,6,3,2,14,19,310,1
0,0,1,0,0,0,1,0,0,1,6955,21,3,3,22,13,920,1
0,0,0,1,0,0,1,1,0,1,3943,3,4,2,4,6,170,0
0,0,0,1,0,0,1,1,0,1,4823,1,5,2,18,21,175,0
0,0,1,1,0,1,0,0,1,0,7757,6,5,0,18,8,800,1
0,0,1,1,0,1,1,0,1,1,13292,9,6,6,21,12,910,2
0,0,0,1,0,1,1,0,1,1,8238,1,6,5,21,3,345,1
0,1,1,0,0,1,1,0,1,1,7682,15,5,2,7,12,355,1
0,1,1,1,0,0,1,1,0,1,4668,18,6,1,9,12,170,0
0,1,1,1,1,0,0,1,0,0,3687,15,6,5,7,9,135,0
0,1,1,1,1,0,0,1,0,0,3687,18,6,1,7,9,135,0
0,0,1,0,0,1,0,0,1,0,13227,1,5,2,9,23,805,2
0,0,0,1,0,0,1,1,0,1,4423,6,4,5,4,6,170,0
0,0,1,1,0,1,1,0,1,1,10919,15,6,5,14,12,1320,2
0,0,1,1,0,1,1,0,1,1,12373,18,5,5,7,12,330,1
0,0,0,1,0,1,1,0,1,1,5894,27,6,3,10,21,625,1
0,1,0,0,0,1,0,0,1,0,4649,21,5,1,15,20,315,1
0,0,1,0,0,1,0,0,1,0,6245,18,5,5,14,16,150,0
0,0,1,1,0,0,1,0,0,1,19225,6,3,2,7,13,375,1
0,0,1,1,0,1,1,0,1,1,14924,3,6,0,7,19,715,1
0,1,0,1,0,1,1,0,1,1,9646,21,5,1,7,18,665,1
0,0,1,0,0,0,1,0,0,1,8714,15,3,4,6,15,510,1
0,0,1,1,0,1,1,0,1,1,12373,18,5,5,20,19,1325,1
1,0,0,0,0,0,1,1,0,1,3383,6,5,0,11,13,165,0
0,1,0,1,0,1,1,0,1,1,13062,21,3,3,9,21,720,1
0,1,0,0,0,0,1,0,0,1,3527,24,3,6,5,8,170,0
0,0,0,1,0,0,1,1,0,1,3943,27,5,0,4,6,170,0
0,0,1,0,1,0,0,1,0,0,4667,3,5,4,11,13,135,0
0,0,1,0,0,1,0,0,1,0,6117,15,5,2,19,11,965,1
0,0,1,1,0,1,1,0,1,1,11150,27,6,3,23,19,1195,2
0,0,1,1,0,1,1,0,1,1,7202,9,3,5,11,14,195,0
0,0,1,1,0,1,0,0,1,0,12121,1,5,2,9,10,1520,1
0,0,0,1,0,0,1,0,0,1,4377,24,3,6,22,1,170,0
0,0,0,1,0,0,1,1,0,1,3943,18,6,1,21,0,180,0
1,0,0,0,0,0,1,1,0,1,4483,3,4,2,23,2,170,0
0,0,1,1,0,1,0,0,1,0,14231,24,3,6,19,12,975,1
0,0,1,0,0,0,1,0,0,1,17345,1,3,4,8,23,905,2
0,1,1,1,1,0,0,1,0,0,7414,6,3,2,7,9,135,0
